term,counts
nuevos,145723
study,145706
idea,145270
learn,145044
started,144890
lost,144784
second,144262
ship,144227
uma,144092
positivo,143976
understand,143757
boris,143581
else,143515
thread,142634
años,142560
potus,142511
deal,142472
millions,142232
ng,142200
threat,142076
stupid,142045
yg,140997
schools,140942
all,140883
kids,140800
ok,140563
ask,140037
party,140030
we,139978
instead,139889
mayor,139879
talk,139761
try,139349
40,139281
seriously,139087
ppe,138915
aquí,138797
coronavirusupdate,138722
lol,138695
science,138643
on,138633
tv,138520
safety,137894
quedateencasa,137799
outside,137408
muertes,137348
leaders,137331
im,137301
needed,137210
nigeria,137102
australia,136910
la,136665
seems,136539
venezuela,135772
infections,135550
mil,135411
contagio,135279
hear,135218
thousands,135066
problem,135064
california,134938
deadly,134400
vida,134191
wo,134126
talking,133841
concerns,133810
you,133549
democrats,133463
anti,133444
wants,133349
mal,133208
line,133199
taken,132988
stock,132800
worst,132709
companies,132653
different,132562
families,132445
administration,132345
href,132203
despite,132187
pra,132151
name,132071
aux,131965
hoax,131873
set,131849
rel,131764
is,131394
employees,131307
nofollow,131257
group,131142
probably,130569
able,130405
sad,129914
en,129878
morning,129871
means,129213
low,129162
general,128480
wow,128307
ils,128289
become,128258
vote,128131
22,127823
message,127820
political,127758
official,127758
future,127747
worldwide,127627
mejor,127425
web,127171
rest,127138
lab,126615
briefing,126414
provide,126366
florida,126307
fox,126298
reason,126086
60,126054
avoid,126016
socialdistancing,125938
facebook,125532
contre,125496
scientists,125077
ready,124664
leadership,124548
rise,124475
office,124423
dice,124383
argentina,124265
kita,123625
tan,123309
guys,123147
industry,123002
tem,123000
efforts,122812
sono,122589
ist,122328
ang,122142
washington,122111
restrictions,121968
nyc,121869
based,121554
fauci,121470
helping,121385
cada,121284
pacientes,121192
stimulus,121182
23,120868
200,120736
03,120441
vez,120434
company,120329
foxnews,120131
power,119881
fund,119695
información,119676
dangerous,119665
came,119479
hey,119375
given,119271
google,119196
members,119003
sir,118813
hi,118781
blame,118694
dari,118503
casi,118495
calling,118308
nurses,118279
