date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force
2020-03-28,71,90,100,94,90,94,48,69,77,49,60,29,83,99,53,74,90,77,36,76,64,93,92,85,44,92,86,78,87,88,95,39,80,33,92,80,64,26,40,96,89,86,46,52,55,57,88,58,55,58,67,86,51,60,77,46,44,28,88,60,60,86,100,63,90,63,55,72,98,86,70,55,91,98,59,0,47,47,53,32,79,99,14,87,49
2020-03-29,68,89,96,89,91,96,41,69,83,50,57,28,82,92,53,72,93,77,36,80,62,89,92,83,49,94,82,76,85,86,92,39,74,32,89,74,35,25,38,100,87,83,45,52,45,57,85,58,54,58,82,84,47,54,63,47,40,27,88,52,54,83,95,60,89,65,55,66,100,83,61,46,92,92,55,21,32,63,49,31,78,45,12,79,47
2020-03-30,56,84,91,86,88,92,65,61,80,44,50,25,82,76,49,68,85,72,29,80,81,94,80,82,45,91,90,87,89,86,90,32,70,27,73,70,48,27,37,89,74,71,49,52,84,59,77,49,54,49,100,71,43,48,50,38,36,22,72,45,54,75,86,67,72,77,43,60,94,75,54,64,82,80,51,28,21,60,41,23,69,31,14,78,34
2020-03-31,54,83,89,85,96,92,66,57,79,39,48,25,83,76,49,64,86,72,25,87,79,95,77,87,44,92,93,89,86,89,87,30,64,27,68,64,50,25,31,93,74,67,44,55,62,57,75,44,51,44,71,66,38,45,52,37,32,20,70,42,61,74,80,86,72,73,44,70,87,74,47,76,84,72,55,18,28,58,42,22,60,35,7,80,42
2020-04-01,54,81,92,87,87,92,67,57,77,38,47,25,87,74,49,63,86,75,22,85,78,98,78,90,44,95,89,87,87,90,87,32,61,28,70,61,47,24,25,90,76,66,48,51,82,57,74,44,48,44,70,64,38,43,49,35,29,18,71,38,61,72,78,72,74,75,45,60,82,72,48,54,82,69,51,28,35,68,39,22,58,32,13,77,52
2020-04-02,52,80,93,86,90,91,65,58,77,36,43,25,87,70,48,62,85,73,21,85,77,97,82,87,45,88,90,89,87,91,87,30,62,26,64,62,49,22,28,86,74,61,34,58,69,59,74,43,47,43,61,60,35,40,45,33,35,17,68,38,63,70,77,81,70,66,42,52,81,70,51,67,85,72,53,74,14,46,42,20,56,28,5,71,40
2020-04-03,66,80,93,87,91,88,67,55,76,37,41,24,82,68,49,61,89,75,22,86,74,99,81,87,45,90,86,82,89,89,84,28,70,28,63,70,70,21,37,87,66,68,39,52,65,49,79,39,66,39,62,57,41,38,42,39,33,19,67,34,60,75,75,72,68,64,43,53,86,75,48,75,83,68,44,95,14,50,40,19,51,26,4,72,32
2020-04-04,73,75,89,85,91,85,50,56,81,40,42,25,78,72,51,60,94,75,22,84,59,99,86,84,44,89,78,69,91,91,84,27,68,28,67,68,54,19,29,92,76,78,30,53,50,45,85,41,62,41,56,60,46,40,45,41,30,17,70,35,63,78,81,62,73,54,51,49,97,78,51,47,82,66,39,21,32,32,40,18,55,26,10,64,36
2020-04-05,75,76,89,85,98,85,43,54,82,40,40,26,78,72,51,66,95,74,22,83,61,96,88,81,47,90,79,72,87,92,83,29,66,28,66,66,56,17,34,94,81,78,32,49,41,54,84,38,55,38,53,65,48,39,47,38,26,21,74,35,61,78,81,65,76,52,57,48,87,78,50,47,92,100,65,54,48,54,56,25,56,56,10,64,59
2020-04-06,61,75,95,83,86,81,76,49,82,37,37,24,78,66,47,67,87,73,16,79,80,96,79,88,43,89,85,75,82,87,85,25,61,24,60,61,55,18,29,84,72,65,29,53,38,44,78,31,65,31,52,55,36,34,50,36,26,14,63,36,64,71,73,72,67,59,52,45,84,71,39,100,87,70,100,47,14,58,60,26,48,74,0,60,38
2020-04-07,61,69,88,78,84,80,75,46,86,42,34,21,78,62,48,66,88,74,18,80,81,98,80,89,46,89,86,76,82,93,76,20,57,24,57,57,54,16,26,84,69,64,25,50,37,44,73,28,60,28,50,54,34,31,36,34,23,13,63,29,50,68,68,70,65,51,50,40,82,68,39,82,88,69,58,57,28,57,51,15,46,21,7,56,39
2020-04-08,61,67,85,78,90,84,76,46,85,43,32,22,76,60,47,62,91,75,29,83,75,100,77,88,46,87,86,75,82,91,73,20,53,22,54,53,45,16,28,80,70,64,27,48,36,47,70,28,62,28,51,56,34,30,37,34,23,23,61,27,59,65,66,57,66,54,53,45,76,65,38,78,81,56,42,57,29,43,65,12,51,23,13,54,31
2020-04-09,58,65,80,74,90,84,73,45,85,38,31,22,77,59,48,60,90,77,21,86,73,95,79,84,47,91,86,75,81,93,72,20,50,23,54,50,51,15,27,83,69,58,28,53,34,48,67,24,66,24,56,54,32,28,34,30,22,16,62,28,65,59,63,52,68,57,43,42,68,59,37,77,84,77,40,68,29,46,49,16,45,20,8,53,32
2020-04-10,56,61,80,73,93,82,84,45,88,35,29,21,76,59,50,57,93,77,17,86,64,90,83,83,44,98,80,68,83,93,70,20,50,22,51,50,100,14,29,95,69,64,25,43,32,41,65,24,70,24,52,57,35,26,33,31,20,13,62,24,38,60,65,56,68,49,43,32,82,60,35,65,75,59,38,71,0,58,37,15,49,13,6,45,38
2020-04-11,46,59,75,69,90,79,55,45,84,34,29,19,71,58,50,58,95,78,16,83,50,94,92,100,43,91,75,63,84,92,68,18,44,20,51,44,77,12,22,87,72,53,14,41,32,33,58,25,40,25,47,55,29,26,27,23,20,15,61,23,44,53,64,30,69,44,37,42,71,53,44,34,76,78,36,75,16,56,31,13,46,18,4,42,42
2020-04-12,43,55,70,67,86,80,47,48,84,34,27,18,70,57,50,58,97,77,17,82,47,87,87,81,45,85,70,59,82,88,65,16,40,18,48,40,68,12,20,82,72,51,16,39,27,29,55,26,30,26,40,52,29,24,27,25,16,14,60,22,42,51,63,51,73,42,38,31,69,51,41,44,75,60,31,76,16,27,28,10,44,11,4,39,25
2020-04-13,55,60,82,75,93,78,76,49,87,43,27,18,76,52,50,57,92,81,15,84,67,91,77,83,42,88,82,69,83,93,74,19,51,18,44,51,62,13,24,81,62,61,40,43,32,35,69,31,78,31,46,51,33,24,29,30,18,15,57,22,46,64,60,50,61,51,39,36,69,64,37,65,83,73,37,39,44,60,29,13,46,7,11,46,35
2020-04-14,52,55,77,71,96,77,82,44,92,53,25,18,73,48,46,55,89,81,13,86,68,97,73,84,43,92,86,76,83,94,69,14,45,18,40,45,67,13,27,72,51,52,29,41,30,36,68,26,61,26,47,47,31,22,28,28,18,11,48,19,45,61,54,67,53,46,38,28,68,61,36,89,79,34,31,65,21,58,57,8,41,17,4,41,46
2020-04-15,53,54,79,71,87,81,75,44,94,54,24,20,76,47,46,53,88,100,15,88,70,93,77,87,44,88,89,72,82,97,71,15,45,20,39,45,51,13,29,72,51,54,23,46,31,37,71,25,47,25,62,46,31,22,26,29,17,14,45,18,55,64,53,47,52,51,34,28,70,64,38,57,71,62,31,0,14,30,100,8,39,12,11,46,31
2020-04-16,50,55,79,71,95,79,72,46,94,50,24,19,76,49,47,51,90,94,22,85,66,90,75,85,43,90,87,72,83,95,69,16,47,17,40,47,67,13,25,70,50,53,24,48,42,39,69,25,59,25,51,47,29,21,30,25,17,22,43,19,47,64,55,52,48,45,36,32,56,64,31,49,73,48,31,19,28,37,47,12,40,10,7,43,33
2020-04-17,52,52,81,72,89,79,68,53,92,45,24,19,72,50,46,50,91,89,28,87,66,90,75,84,43,91,86,72,85,96,68,17,41,19,41,41,46,13,23,70,59,55,36,42,38,32,72,34,53,34,43,50,29,21,25,26,16,28,49,18,40,62,55,52,54,43,30,35,55,62,34,58,65,43,34,57,14,36,30,12,42,10,7,42,33
2020-04-18,50,50,74,68,94,76,55,47,92,41,23,17,68,50,47,49,97,85,21,100,49,91,97,84,41,90,77,60,100,92,64,13,40,16,41,40,54,11,23,68,59,53,20,36,32,31,65,27,55,27,37,48,37,20,28,25,16,19,49,16,33,58,57,41,57,39,34,33,51,58,30,37,66,65,33,32,16,42,28,10,38,11,8,40,25
2020-04-19,43,49,71,81,97,79,44,46,98,46,23,17,67,50,47,51,100,84,19,99,49,89,100,83,43,91,78,62,97,98,64,13,41,16,39,41,54,10,23,70,55,47,14,35,30,30,64,22,42,22,37,48,36,20,24,25,13,16,50,16,39,57,58,46,55,36,31,30,53,57,25,40,68,43,28,43,16,32,35,9,38,8,8,37,26
2020-04-20,38,48,73,69,95,76,70,40,92,34,23,17,73,44,43,53,90,83,13,85,67,95,75,82,44,93,84,72,83,94,62,12,40,16,35,40,44,10,19,65,49,41,22,42,33,34,61,19,39,19,36,45,29,21,23,19,13,10,40,14,42,54,51,45,46,40,29,36,53,54,24,64,63,45,32,37,21,39,22,9,38,7,4,36,33
2020-04-21,38,48,73,66,82,76,61,40,99,42,22,17,73,44,45,51,91,82,12,84,67,94,75,85,44,93,86,75,81,95,60,12,39,15,34,39,45,10,21,65,48,42,18,41,35,31,59,17,30,17,34,44,28,20,25,17,15,10,40,15,47,53,50,52,46,35,32,31,54,53,23,54,69,64,32,19,0,23,23,7,35,9,0,36,30
2020-04-22,32,48,74,63,93,79,70,40,94,36,20,18,71,41,45,52,91,82,13,83,68,88,75,86,44,91,89,73,80,94,61,12,35,16,33,35,44,9,16,65,46,35,20,39,35,30,58,16,29,16,38,41,27,17,23,18,16,8,40,15,39,50,47,58,42,47,25,28,54,50,22,71,62,50,35,75,14,33,22,9,32,4,4,37,22
2020-04-23,40,45,70,61,94,78,65,40,92,32,21,17,68,40,44,50,94,80,13,80,64,84,69,84,51,90,87,74,80,93,59,11,35,12,31,35,43,10,18,65,42,41,25,40,41,26,60,15,40,15,37,40,24,19,27,20,16,9,36,14,39,52,46,61,40,42,25,30,54,52,20,34,61,46,38,91,0,23,20,9,33,8,4,33,28
2020-04-24,41,44,68,58,91,79,66,39,91,88,20,16,69,40,46,52,92,84,10,84,62,79,74,84,59,89,84,69,86,96,56,11,36,14,31,36,51,9,25,67,44,41,18,38,46,30,59,17,35,17,35,37,26,18,21,16,15,7,39,13,40,50,44,55,41,38,28,29,50,50,22,73,61,45,27,77,14,36,18,6,31,8,11,32,25
2020-04-25,36,42,62,55,88,73,48,39,88,65,18,16,62,42,47,52,100,82,9,80,47,81,77,83,52,95,73,59,90,92,53,10,32,12,32,32,39,8,21,67,47,36,13,31,29,29,53,16,32,16,31,43,25,15,18,18,10,6,40,13,36,45,45,37,46,36,25,23,58,45,21,34,62,51,26,43,24,35,15,8,34,13,4,29,32
2020-04-26,35,40,65,57,99,77,44,39,94,51,17,15,66,42,47,52,100,81,11,82,49,84,79,86,46,95,76,60,87,94,53,10,32,11,33,32,54,8,16,65,47,36,19,35,29,25,52,16,37,16,32,43,26,15,16,18,12,7,41,13,33,42,47,48,45,30,27,26,67,42,24,40,65,39,26,32,16,32,14,6,33,9,8,28,21
2020-04-27,28,43,70,60,85,79,71,37,90,41,17,17,74,40,44,51,93,81,9,81,65,85,70,87,44,92,85,67,83,96,58,9,30,13,30,30,50,9,15,63,40,37,13,50,41,25,52,13,35,13,34,42,22,14,15,16,10,8,34,12,44,43,45,36,38,45,24,24,55,43,22,63,63,47,28,38,14,45,15,6,35,4,4,30,21
2020-04-28,27,41,73,57,88,79,68,37,100,35,17,16,71,38,44,49,94,81,8,81,63,86,67,87,45,93,85,70,83,95,56,8,27,13,27,27,53,8,19,61,42,33,21,39,38,20,50,12,30,12,34,41,22,14,17,18,11,7,32,12,38,40,41,55,39,42,27,24,50,40,17,81,57,33,34,19,0,23,15,9,32,10,5,30,25
2020-04-29,27,41,69,56,88,81,68,37,99,32,17,16,69,37,43,54,95,81,9,82,64,86,71,87,45,87,85,67,80,100,55,10,31,11,26,31,52,8,22,60,44,29,24,42,36,21,50,14,31,14,33,37,21,14,21,18,10,8,36,11,39,41,38,35,41,39,26,25,56,41,22,75,59,39,33,55,0,21,16,12,27,14,7,32,25
2020-04-30,25,39,68,56,92,81,72,37,95,31,16,16,72,36,44,51,95,81,8,85,64,90,70,87,46,87,85,66,81,100,53,9,25,12,26,25,44,8,13,60,38,28,9,38,42,20,45,11,31,11,36,36,19,13,18,17,11,6,32,11,41,37,39,28,35,39,22,26,46,37,20,55,53,33,28,35,0,32,18,8,27,3,7,28,19
2020-05-01,26,38,67,56,100,80,50,40,99,34,16,16,72,39,48,51,98,82,11,87,64,85,74,85,47,93,85,60,91,100,53,9,26,13,27,26,56,8,15,64,41,30,16,34,59,20,49,12,21,12,33,38,21,13,17,19,9,7,32,11,32,39,42,40,37,37,23,25,55,39,23,41,54,22,32,40,0,30,17,11,29,8,4,26,9
