date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force
2020-02-05,7,0,0,9,86,61,92,45,91,81,16,3,56,6,94,42,76,61,42,73,64,80,52,64,48,78,73,44,56,84,0,20,0,4,3,0,54,2,61,61,16,6,8,0,2,3,0,27,7,27,0,2,5,12,2,4,13,39,15,5,0,0,0,0,18,0,5,0,0,0,6,0,52,0,0,21,15,0,9,1,2,0,36,0,0
2020-02-06,7,0,0,9,79,61,91,46,91,58,15,2,55,6,49,42,77,61,40,73,65,79,52,63,45,80,74,43,56,82,0,20,0,3,4,0,60,2,55,66,19,6,3,0,2,2,0,30,8,30,0,2,4,12,2,3,17,39,17,5,0,0,0,0,20,0,8,0,0,0,4,0,50,0,0,63,16,0,10,1,2,3,73,0,1
2020-02-07,8,0,0,9,85,59,97,49,89,36,16,2,56,6,49,42,78,60,49,74,63,77,51,62,46,79,70,42,57,84,0,26,0,3,4,0,56,3,52,63,21,7,8,0,2,2,0,35,9,35,0,3,4,12,3,4,18,46,19,5,0,0,0,0,26,0,7,0,0,0,7,0,43,0,0,43,32,0,13,1,2,2,66,0,1
2020-02-08,7,0,0,8,83,53,73,44,82,31,14,2,48,5,100,38,80,59,43,74,40,76,51,61,45,75,61,35,57,77,0,23,0,3,3,0,43,2,49,59,22,7,3,0,2,1,0,31,15,31,0,3,4,11,1,5,17,47,19,5,0,0,0,0,23,0,7,0,0,0,7,0,34,0,0,47,0,0,6,1,3,0,61,0,0
2020-02-09,7,0,0,22,86,55,58,42,82,28,14,2,49,5,49,38,81,60,38,73,39,80,81,63,47,77,65,38,57,77,0,31,0,2,3,0,41,2,46,67,18,6,5,0,2,1,0,27,6,27,0,2,4,11,2,5,16,41,18,4,0,0,0,0,22,0,6,0,0,0,7,0,36,0,0,58,17,0,6,1,3,0,50,0,1
2020-02-10,7,0,0,9,75,60,100,41,95,26,14,2,56,6,47,40,76,60,35,73,66,77,53,62,48,77,72,42,56,86,0,35,0,2,4,0,41,2,58,64,20,6,4,0,2,4,0,27,9,27,0,3,4,11,2,4,20,37,18,5,0,0,0,0,25,0,9,0,0,0,9,0,44,0,0,51,23,0,9,1,2,0,49,0,0
2020-02-11,7,0,0,8,85,61,94,40,93,28,14,2,54,6,92,47,78,60,31,73,65,76,51,63,46,76,76,44,56,85,0,34,1,2,3,1,33,2,43,64,18,7,9,0,2,4,1,27,8,27,0,3,4,11,2,4,18,39,16,5,0,1,0,0,22,0,8,0,0,1,7,6,45,0,0,30,15,0,11,2,3,2,47,1,0
2020-02-12,6,2,1,9,89,60,92,40,93,29,14,2,57,6,60,39,77,62,28,74,66,81,52,65,46,80,75,46,60,84,1,26,4,1,3,4,44,2,42,66,17,8,10,0,2,2,2,26,6,26,0,3,4,10,2,4,15,28,15,5,0,2,0,0,22,0,6,1,2,2,5,0,61,0,0,72,31,0,9,1,3,2,56,2,1
2020-02-13,7,2,1,9,86,61,92,43,95,26,15,2,55,6,46,41,77,60,30,74,63,78,52,63,46,76,72,44,57,83,1,35,4,2,4,4,46,2,33,63,20,6,2,0,2,4,2,28,10,28,0,3,4,11,1,4,16,33,19,4,0,3,1,0,23,0,8,1,2,3,7,0,45,3,0,42,16,0,12,1,3,3,38,4,1
2020-02-14,5,2,1,9,89,54,90,39,89,27,12,2,53,5,48,38,80,57,22,74,57,79,55,60,49,78,66,40,55,82,1,23,3,2,3,3,42,2,23,61,16,5,3,0,1,3,2,23,7,23,0,2,3,9,1,3,14,23,15,3,0,2,0,0,19,1,5,2,2,2,7,0,41,3,0,22,16,0,8,1,2,0,19,3,1
2020-02-15,5,2,1,9,92,51,71,37,83,23,11,1,46,5,48,39,81,58,21,72,39,75,56,62,47,74,60,33,59,76,1,19,3,1,2,3,39,1,21,63,16,4,2,0,1,2,2,20,5,20,0,3,3,9,2,4,9,23,13,3,0,2,0,0,19,0,3,3,1,2,8,7,32,3,0,47,0,0,7,1,2,4,14,4,2
2020-02-16,4,2,1,9,84,53,60,36,84,28,10,1,48,5,47,36,81,61,20,74,40,76,55,62,51,75,63,37,59,79,1,13,3,1,2,3,54,2,15,65,14,3,2,1,2,2,2,17,4,17,0,2,3,8,2,3,9,19,12,3,0,2,0,0,16,0,4,3,1,2,4,0,37,0,0,23,0,0,6,1,1,3,27,3,0
2020-02-17,4,2,1,9,85,54,92,36,87,24,10,1,53,5,45,37,76,62,19,74,61,81,51,65,49,78,70,42,59,82,1,12,3,1,2,3,42,2,16,61,14,4,3,1,2,2,2,17,8,17,0,2,2,8,2,3,10,20,11,3,1,2,1,0,18,0,4,4,1,2,6,6,38,0,0,21,0,0,8,1,2,2,16,3,0
2020-02-18,4,2,1,11,93,59,92,35,93,26,10,1,55,5,46,39,78,62,20,73,70,76,51,64,49,74,74,45,57,83,1,14,3,1,2,3,57,1,20,63,15,4,4,1,2,2,2,16,8,16,0,2,2,7,2,2,8,18,11,2,1,2,1,2,18,0,3,3,2,2,6,0,42,0,0,80,15,0,9,1,1,0,17,2,1
2020-02-19,4,2,1,18,88,60,90,34,97,28,9,1,58,5,47,37,78,61,15,73,67,78,52,67,48,81,76,45,57,88,1,12,2,1,2,2,43,1,18,63,13,3,2,1,2,3,2,14,3,14,0,2,2,7,2,2,7,15,10,2,0,2,1,0,16,0,4,2,1,2,5,0,46,0,0,71,15,0,6,2,2,2,12,3,0
2020-02-20,3,2,1,13,89,61,90,32,93,31,8,1,56,5,49,39,79,61,16,75,65,75,51,64,52,74,75,46,56,83,1,10,2,1,2,2,68,1,15,64,12,3,4,1,2,2,2,13,7,13,0,2,2,6,1,2,6,13,9,2,0,2,1,0,14,0,3,2,2,2,6,0,48,0,0,51,0,5,7,2,1,0,20,3,0
